102	36432
98	37584
84	42192
0	155520
82	42624
31	146592
81	42912
50	119952
57	64512
33	145728
46	133200
93	38592
11	153936
79	43488
71	53712
49	120816
61	62784
34	145728
59	63792
41	142992
51	119808
75	50112
25	149184
52	105408
101	37008
94	38160
27	147600
86	40464
32	146448
83	42336
76	49968
63	62064
19	151632
38	143856
69	56592
20	151632
21	149760
78	43776
67	56880
43	141840
65	59472
45	134064
55	66960
12	153648
16	153216
70	54000
3	155232
6	154800
100	37440
97	37584
90	39024
35	145152
85	41904
14	153504
80	43488
29	146736
39	143856
13	153504
30	146736
91	38880
72	53136
10	154080
15	153504
74	50544
2	155520
53	79200
26	148464
37	144000
99	37584
95	38160
73	52272
24	149328
68	56880
48	122256
64	59616
8	154224
44	139392
92	38592
22	149616
88	39312
17	152208
87	39744
1	155520
36	144432
96	38016
5	154800
89	39312
66	58608
54	70848
7	154800
42	141840
56	65232
4	155088
9	154224
77	47808
28	146880
62	62496
40	143280
60	63360
47	124992
58	64368
18	151776
23	149616
