m,n_selected_sites,replicate,distance
200,0,3,0.14814814814814814
200,0,4,0.18518518518518517
200,0,5,0.25925925925925924
200,50,1,0.2962962962962963
200,50,2,0.48148148148148145
200,50,3,0.18518518518518517
200,50,4,0.37037037037037035
200,50,5,0.2962962962962963
200,200,1,0.5555555555555556
200,200,2,0.6666666666666666
200,200,3,0.7037037037037037
200,200,4,0.7037037037037037
200,200,5,0.5185185185185185
200,500,1,0.8148148148148148
200,500,2,0.8888888888888888
200,500,3,0.7037037037037037
200,500,4,0.8518518518518519
200,500,5,0.7037037037037037
200,1000,1,0.9259259259259259
200,1000,2,0.8518518518518519
200,1000,3,0.6666666666666666
200,1000,4,0.8888888888888888
200,1000,5,0.9629629629629629
