102	1248
100	1488
94	1872
11	9960
92	1968
82	3288
45	6840
64	4968
46	6840
57	5760
85	2760
26	9192
67	4728
36	8112
0	10392
5	10248
63	5064
38	7800
60	5544
99	1632
44	6936
29	9048
43	7008
24	9240
39	7632
87	2616
77	3576
4	10296
69	4704
78	3456
28	9072
42	7008
9	10056
15	9768
101	1488
96	1752
55	5832
95	1776
98	1632
91	2256
56	5808
84	2928
75	3672
61	5448
40	7152
1	10392
21	9360
41	7032
70	4584
2	10392
32	8784
83	3168
58	5712
25	9216
31	8808
66	4824
97	1728
90	2304
80	3336
49	6744
50	6408
7	10128
37	7872
88	2424
20	9528
53	6192
93	1968
23	9288
89	2424
48	6744
86	2760
71	4368
13	9840
22	9312
81	3336
74	4176
65	4848
18	9672
62	5376
14	9792
59	5712
34	8616
54	6192
3	10320
35	8256
6	10200
8	10056
73	4248
51	6384
52	6288
30	9024
33	8640
16	9720
19	9624
79	3432
72	4248
27	9144
47	6792
10	10008
17	9720
76	3600
12	9936
68	4728
