95	10224
87	14544
46	78480
28	97920
33	94752
82	23328
80	23904
10	103824
78	24192
55	47664
16	101952
18	101808
73	27360
36	94176
67	30528
63	36288
6	104976
54	48240
65	31680
31	96192
57	39456
25	100224
41	92736
81	23616
69	28656
11	103392
52	51840
3	105984
20	101808
79	23904
75	26496
62	37440
22	101664
61	38016
24	100512
27	99072
74	26640
2	106272
21	101664
76	26064
60	38160
42	92592
58	39024
5	105120
51	57456
14	102528
15	102528
71	27792
7	104832
64	34560
13	102816
19	101808
91	10944
50	65520
86	14688
39	93456
44	82080
