98	480
54	6168
97	792
88	1680
85	2256
33	12120
84	2280
62	5304
10	13416
14	13320
83	2328
23	12960
27	12576
86	1968
9	13440
73	3528
52	6864
29	12504
49	7296
39	11424
44	9576
7	13488
37	11928
68	4032
4	13536
59	5448
8	13464
31	12456
96	1152
94	1344
78	2688
25	12744
51	6936
93	1392
91	1560
26	12600
69	3984
42	10416
63	4824
35	12024
58	5736
92	1512
81	2424
40	10656
77	2808
1	13584
36	11952
90	1632
71	3888
45	9528
65	4776
38	11448
60	5376
13	13344
15	13296
80	2424
34	12024
79	2496
20	13104
50	7080
95	1248
87	1824
3	13536
76	3264
61	5352
22	13008
53	6624
46	8760
47	8136
28	12576
43	10008
66	4656
16	13272
17	13248
89	1656
74	3336
64	4776
18	13200
24	12744
72	3840
12	13368
56	6024
21	13032
32	12456
82	2400
70	3888
48	7728
6	13488
19	13128
67	4464
5	13512
41	10608
75	3312
30	12480
57	5760
2	13560
55	6144
0	13584
11	13392
